City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kirakira,SB,79.65,few clouds,-10.4544,161.9205,SanBiz Lodge
1,Hojai,IN,78.82,scattered clouds,26.0,92.8667,Luxury park hotel
2,Tuktoyaktuk,CA,71.6,few clouds,69.4541,-133.0374,End of The Road Ltd.
3,Hilo,US,73.26,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
4,Abu Samrah,SY,84.25,clear sky,35.3029,37.1841,
6,Rikitea,PF,74.07,light rain,-23.1203,-134.9692,People ThankYou
9,Kapaa,US,77.32,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
10,Mayo,US,92.21,clear sky,38.8876,-76.5119,Resorts Resource Group International
11,Mogadishu,SO,77.36,light rain,2.0371,45.3438,Hotel Juba
12,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
13,Lorengau,PG,81.34,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
16,Karpathos,GR,78.76,few clouds,35.507,27.2132,Alex
18,Albany,US,80.94,overcast clouds,42.6001,-73.9662,
20,Bulungu,CD,85.93,broken clouds,-4.55,18.6,Maison MC Michel
21,Morristown,US,86.95,broken clouds,36.214,-83.2949,Days Inn by Wyndham Morristown
22,Lasa,IT,80.37,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
23,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
24,Broome,US,78.98,light rain,42.2506,-75.833,Chenango Valley State Park
27,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
28,Gushi,CN,77.27,scattered clouds,34.6425,109.5843,Wansheng Yuan Hotel
30,Matamoros,MX,82.51,scattered clouds,25.5333,-103.25,Quinta Belem
31,Salalah,OM,84.29,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
32,Komsomolskiy,UZ,84.92,clear sky,40.4272,71.7189,Ikathouse
33,Ribeira Grande,PT,72.0,few clouds,38.5167,-28.7,Quinta da Meia Eira
34,East London,ZA,72.54,clear sky,-33.0153,27.9116,Tu Casa
39,Keffi,NG,82.69,light rain,8.8486,7.8736,Imam Family
48,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
50,Fukue,JP,78.58,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
53,Samarai,PG,80.22,broken clouds,-10.6167,150.6667,Nuli Sapi
54,Jamestown,US,75.02,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
55,Yarada,IN,84.61,overcast clouds,17.65,83.2667,Yarada Jungle Beach Resorts
56,Mahebourg,MU,71.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
60,Yaring,TH,81.0,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
68,Avera,US,86.05,clear sky,33.194,-82.5271,
72,Yerakion,GR,83.75,few clouds,37.0,22.7,Xenonas Nikia
75,Cidreira,BR,70.11,broken clouds,-30.1811,-50.2056,Hotel Castelo
77,Saint-Francois,FR,81.84,clear sky,46.4154,3.9054,Manoir Du Bonheur
80,Maraa,BR,91.6,few clouds,-1.8333,-65.3667,
82,Along,IN,76.08,broken clouds,28.1667,94.7667,Hotel West
83,Port Alfred,ZA,74.17,clear sky,-33.5906,26.891,The Halyards Hotel
85,Xuddur,SO,74.82,overcast clouds,4.1213,43.8894,Banjanay Hotel
86,Sao Joao Da Barra,BR,80.69,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
89,Neiafu,TO,75.88,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
90,Butaritari,KI,83.19,light rain,3.0707,172.7902,Isles Sunset Lodge
91,Les Cayes,HT,88.18,overcast clouds,18.2,-73.75,Villa Orphee
92,Margate,GB,71.69,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
94,Oussouye,SN,91.58,overcast clouds,12.485,-16.5469,Auberge du Routard
96,Misratah,LY,88.07,clear sky,32.3754,15.0925,Almasa Hotel
97,Dwarka,IN,84.38,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
98,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Pirineos
99,Vilhena,BR,84.42,scattered clouds,-12.7406,-60.1458,Hotel Mirage
100,Karaton,ID,73.76,scattered clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
106,Saint George,US,93.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
108,Cabo San Lucas,MX,94.6,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
110,Calabozo,VE,84.99,scattered clouds,8.9242,-67.4293,Hotel Giardini
111,Surt,LY,82.67,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
113,Pringsewu,ID,73.49,broken clouds,-5.3582,104.9744,Urban Style by Front One
114,Poum,NC,76.98,overcast clouds,-20.2333,164.0167,
116,Victoria,HK,84.33,overcast clouds,22.2855,114.1577,Mini Central
118,Santa Isabel Do Rio Negro,BR,91.49,few clouds,-0.4139,-65.0192,Hotel GSA
119,Kavieng,PG,82.02,light rain,-2.5744,150.7967,Nusa Island Retreat
120,Touros,BR,83.73,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
121,West Wendover,US,81.61,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
124,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
125,Alyangula,AU,72.34,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
126,Atuona,PF,77.5,few clouds,-9.8,-139.0333,Villa Enata
127,Avarua,CK,73.45,scattered clouds,-21.2078,-159.775,Paradise Inn
129,Hami,CN,83.95,scattered clouds,42.8,93.45,Laoyutang Resort
131,Mahibadhoo,MV,82.72,overcast clouds,3.7833,72.9667,Omadhoo Inn
133,Bubaque,GW,81.07,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
134,Alofi,NU,71.49,few clouds,-19.0595,-169.9187,Taloa Heights
136,Padang,ID,76.26,scattered clouds,-0.9492,100.3543,Mercure Padang
137,Vaini,TO,71.76,few clouds,-21.2,-175.2,Keleti Beach Resort
138,Dingle,PH,77.43,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
140,Castro,BR,71.28,clear sky,-24.7911,-50.0119,CHACARA BAILLY
141,Xuanhua,CN,73.51,overcast clouds,40.6103,115.0447,Jinjiang Inn Zhangjiakou Xuanhua People's Park
142,Claremore,US,91.27,overcast clouds,36.3126,-95.6161,Super 8 by Wyndham Claremore OK
143,Wanning,CN,79.66,moderate rain,18.8003,110.3967,Paradise Hotel
145,Onalaska,US,78.85,clear sky,43.8844,-91.2351,Stoney Creek Hotel La Crosse - Onalaska
146,Terekli-Mekteb,RU,73.35,overcast clouds,44.1671,45.8698,"Gostevoy Dvor ""U Gul'zary"""
148,Russell,US,86.97,broken clouds,32.3502,-85.1999,Macs
149,Cap Malheureux,MU,70.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
150,Mayumba,GA,73.33,broken clouds,-3.432,10.6554,LIKWALE LODGE
151,Kulu,TR,73.51,clear sky,39.0951,33.0799,Kapadokya Motel
153,Pouembout,NC,71.24,overcast clouds,-21.1333,164.9,Camping de Tipenga
156,Kutum,SD,83.17,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
157,Lakefield,US,79.99,clear sky,43.6775,-95.1717,Wind Mill Motel
158,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
159,Aklavik,CA,75.2,haze,68.2191,-135.0107,Aklavik Inn
163,Hithadhoo,MV,83.35,heavy intensity rain,-0.6,73.0833,Scoop Guest House
164,Katsuura,JP,75.72,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
166,Tautira,PF,76.17,light rain,-17.7333,-149.15,Pension Oaoa
168,Sorong,ID,78.69,light rain,-0.8833,131.25,Waigo Splash Hotel
169,Ponta Do Sol,PT,75.83,broken clouds,32.6667,-17.1,Hotel do Campo
170,Ternate,ID,80.58,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
173,Arraial Do Cabo,BR,78.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
174,Praia Da Vitoria,PT,70.75,scattered clouds,38.7333,-27.0667,Hotel Branco I
175,Ende,ID,77.88,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
176,Hua Hin,TH,85.89,overcast clouds,12.5707,99.9588,"InterContinental Hua Hin Resort, an IHG Hotel"
177,Kahului,US,78.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
179,Kailua,US,77.02,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
181,Edgewater,US,91.02,heavy intensity rain,28.9889,-80.9023,Islander Beach Resort
184,Hambantota,LK,80.33,few clouds,6.1241,81.1185,Bungalow 63
185,Colonia,DE,83.91,clear sky,50.9333,6.95,Mauritius Hotel & Therme
186,Ouegoa,NC,74.16,overcast clouds,-20.35,164.4333,
188,Bambous Virieux,MU,71.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
190,Mitsamiouli,KM,77.29,few clouds,-11.3847,43.2844,Foyer ADM
192,Ocampo,MX,72.41,broken clouds,21.65,-101.5,Hotel Estancia del Vaquero
195,Bethel,US,86.76,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
198,Amapa,BR,84.27,scattered clouds,1.0,-52.0,
199,Puntarenas,CR,81.84,overcast clouds,9.9763,-84.8384,Michael's Surfside Hotel
204,Cockburn Town,TC,81.81,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
205,Zemio,CF,71.1,light rain,5.0314,25.1361,OCHA Office
209,Salinopolis,BR,82.74,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
210,Hobyo,SO,78.1,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
212,Yangjiang,CN,78.78,light rain,21.85,111.9667,HUALUXE Yangjiang City Center
213,Namibe,AO,70.74,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
218,Palma,ES,91.2,clear sky,39.5694,2.6502,Hotel Saratoga
220,Marietta,US,88.32,broken clouds,33.9526,-84.5499,Hilton Atlanta/Marietta Hotel & Conference Center
221,Nikolskoye,RU,85.89,overcast clouds,59.7035,30.7861,Tourist House - Sablino
222,Adoni,IN,83.1,moderate rain,15.6333,77.2833,Bheemas Regency
223,Nusaybin,TR,92.98,clear sky,37.0778,41.2178,Aydinlar Hotel
224,Thomaston,US,87.58,scattered clouds,32.8882,-84.3266,Days Inn by Wyndham Thomaston
226,Rangapara,IN,81.34,overcast clouds,26.8167,92.65,Bidhan
229,Mwene-Ditu,CD,75.87,few clouds,-7.0,23.45,African'zuri
