City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Upernavik,GL,2022-07-07 14:06:20,72.7868,-56.1549,37.94,90,79,14.94,broken clouds
1,Jaguarao,BR,2022-07-07 14:06:21,-32.5661,-53.3758,62.96,73,59,10.49,broken clouds
2,Chokurdakh,RU,2022-07-07 14:06:21,70.6333,147.9167,52.09,61,100,6.82,overcast clouds
3,Kallaste,EE,2022-07-07 14:06:21,58.655,27.1592,71.83,52,89,10.69,overcast clouds
4,Pasni,PK,2022-07-07 14:06:22,25.2631,63.471,84.38,85,78,12.64,broken clouds
5,Butaritari,KI,2022-07-07 14:06:22,3.0707,172.7902,81.75,76,100,14.79,light rain
6,Mataura,NZ,2022-07-07 14:06:22,-46.1927,168.8643,43.48,84,100,10.67,overcast clouds
7,Grindavik,IS,2022-07-07 14:06:23,63.8424,-22.4338,50.47,100,100,34.52,light intensity drizzle
8,Tiksi,RU,2022-07-07 14:06:23,71.6872,128.8694,46.78,74,99,10.65,overcast clouds
9,Vaini,TO,2022-07-07 14:06:23,-21.2,-175.2,69.96,78,20,8.05,few clouds
10,Severo-Kurilsk,RU,2022-07-07 14:06:23,50.6789,156.125,50.79,84,84,8.61,broken clouds
11,Puerto Ayora,EC,2022-07-07 14:06:24,-0.7393,-90.3518,71.56,89,86,5.01,overcast clouds
12,Albany,US,2022-07-07 14:06:24,42.6001,-73.9662,75.63,64,37,1.99,scattered clouds
13,Ahipara,NZ,2022-07-07 14:06:24,-35.1667,173.1667,60.46,95,100,19.66,moderate rain
14,Imbituba,BR,2022-07-07 14:06:25,-28.24,-48.6703,71.85,60,99,2.91,overcast clouds
15,Polson,US,2022-07-07 14:06:25,47.6936,-114.1632,64.72,61,58,0.45,broken clouds
16,Bredasdorp,ZA,2022-07-07 14:06:25,-34.5322,20.0403,62.24,56,92,6.76,overcast clouds
17,Rikitea,PF,2022-07-07 14:06:26,-23.1203,-134.9692,74.86,75,100,20.8,overcast clouds
18,Provideniya,RU,2022-07-07 14:06:26,64.3833,-173.3,50.18,89,100,2.71,overcast clouds
19,Busselton,AU,2022-07-07 14:06:26,-33.65,115.3333,51.55,79,100,4.81,overcast clouds
20,Nouadhibou,MR,2022-07-07 14:06:27,20.931,-17.0347,71.53,74,24,24.2,few clouds
21,Port Alfred,ZA,2022-07-07 14:06:27,-33.5906,26.891,67.17,62,49,3.0,scattered clouds
22,Mitsamiouli,KM,2022-07-07 14:06:27,-11.3847,43.2844,78.26,69,50,12.33,scattered clouds
23,Itarema,BR,2022-07-07 14:06:28,-2.9248,-39.9167,83.35,64,73,17.11,broken clouds
24,Guapore,BR,2022-07-07 14:02:16,-28.8456,-51.8903,64.71,74,100,3.49,overcast clouds
25,Grand Gaube,MU,2022-07-07 14:06:28,-20.0064,57.6608,70.2,79,57,5.01,broken clouds
26,Torbay,CA,2022-07-07 14:06:28,47.6666,-52.7314,64.27,94,100,16.11,mist
27,Sambava,MG,2022-07-07 14:06:29,-14.2667,50.1667,73.65,73,4,17.29,clear sky
28,Guerrero Negro,MX,2022-07-07 14:06:29,27.9769,-114.0611,66.42,82,76,11.83,broken clouds
29,Nikolskoye,RU,2022-07-07 14:06:29,59.7035,30.7861,69.87,53,99,5.44,overcast clouds
30,Bida,NG,2022-07-07 14:06:30,9.0833,6.0167,94.68,46,45,1.3,scattered clouds
31,Funtua,NG,2022-07-07 14:06:30,11.5233,7.3081,86.52,47,86,7.05,overcast clouds
32,Saint-Pierre,RE,2022-07-07 14:06:30,-21.3393,55.4781,71.28,75,20,19.57,few clouds
33,Bambous Virieux,MU,2022-07-07 14:06:31,-20.3428,57.7575,70.05,78,75,12.66,broken clouds
34,Mucurapo,TT,2022-07-07 14:06:31,10.6667,-61.5333,86.25,69,9,11.77,clear sky
35,Kavieng,PG,2022-07-07 14:06:31,-2.5744,150.7967,80.94,81,100,11.97,moderate rain
36,Kodiak,US,2022-07-07 14:06:32,57.79,-152.4072,53.11,94,100,10.36,overcast clouds
37,Kruisfontein,ZA,2022-07-07 14:06:32,-34.0033,24.7314,65.88,55,95,7.56,overcast clouds
38,Faanui,PF,2022-07-07 14:06:32,-16.4833,-151.75,78.1,70,5,6.76,clear sky
39,Hirado,JP,2022-07-07 14:06:33,33.3597,129.5531,81.39,92,100,9.89,overcast clouds
40,Ilulissat,GL,2022-07-07 14:06:33,69.2167,-51.1,42.82,87,75,5.75,broken clouds
41,Santa,PH,2022-07-07 14:06:33,17.486,120.4348,83.01,77,100,4.25,light rain
42,Ushuaia,AR,2022-07-07 14:06:33,-54.8,-68.3,33.42,80,20,6.91,few clouds
43,Tuatapere,NZ,2022-07-07 14:06:34,-46.1333,167.6833,39.04,93,100,4.68,overcast clouds
44,Cape Town,ZA,2022-07-07 14:06:34,-33.9258,18.4232,65.12,76,96,5.01,light rain
45,Kaohsiung,TW,2022-07-07 14:06:34,22.6163,120.3133,85.95,79,75,5.75,broken clouds
46,Lavrentiya,RU,2022-07-07 14:06:35,65.5833,-171.0,47.8,87,100,6.2,overcast clouds
47,Laguna,US,2022-07-07 14:06:35,38.421,-121.4238,61.39,86,0,6.91,clear sky
48,Hermanus,ZA,2022-07-07 14:06:35,-34.4187,19.2345,62.8,74,89,10.51,overcast clouds
49,Eyl,SO,2022-07-07 14:06:36,7.9803,49.8164,83.34,60,100,28.43,overcast clouds
50,Buraydah,SA,2022-07-07 14:06:36,26.326,43.975,104.63,9,16,10.31,few clouds
51,Bethel,US,2022-07-07 14:06:36,41.3712,-73.414,76.46,73,100,5.75,overcast clouds
52,Saint-Philippe,RE,2022-07-07 14:06:37,-21.3585,55.7679,71.19,79,88,15.97,light rain
53,Ribeira Grande,PT,2022-07-07 14:06:37,38.5167,-28.7,72.0,64,75,11.5,broken clouds
54,Lerwick,GB,2022-07-07 14:06:37,60.1545,-1.1494,53.6,91,46,17.07,scattered clouds
55,Hithadhoo,MV,2022-07-07 14:06:37,-0.6,73.0833,82.78,76,100,7.65,overcast clouds
56,Nanortalik,GL,2022-07-07 14:06:38,60.1432,-45.2371,45.0,89,86,4.14,overcast clouds
57,Atuona,PF,2022-07-07 14:06:38,-9.8,-139.0333,77.13,80,23,20.96,light rain
58,Maceio,BR,2022-07-07 14:06:38,-9.6658,-35.7353,78.24,83,75,14.97,broken clouds
59,Ulaanbaatar,MN,2022-07-07 14:06:39,47.9077,106.8832,55.53,71,40,13.42,scattered clouds
60,Barrow,US,2022-07-07 14:06:39,71.2906,-156.7887,42.82,93,20,9.22,few clouds
61,Esperance,AU,2022-07-07 14:06:39,-33.8667,121.9,56.37,75,100,15.79,overcast clouds
62,Bluff,NZ,2022-07-07 14:06:40,-46.6,168.3333,43.81,76,100,22.77,overcast clouds
63,Yellowknife,CA,2022-07-07 14:06:40,62.456,-114.3525,64.56,59,5,5.01,clear sky
64,Tateyama,JP,2022-07-07 14:06:40,34.9833,139.8667,75.09,85,14,8.23,few clouds
65,Providencia,MX,2022-07-07 14:06:40,28.7167,-111.5833,83.41,86,38,2.55,scattered clouds
66,Mount Pleasant,US,2022-07-07 14:06:41,32.7941,-79.8626,88.07,81,20,5.75,few clouds
67,Norman Wells,CA,2022-07-07 14:06:41,65.282,-126.8329,73.36,42,5,7.56,clear sky
68,Chuy,UY,2022-07-07 14:06:41,-33.6971,-53.4616,59.86,73,0,10.96,clear sky
69,Tessalit,ML,2022-07-07 14:06:42,20.1986,1.0114,107.02,11,0,7.49,clear sky
70,Nargana,PA,2022-07-07 14:06:42,9.4428,-78.5906,81.54,82,98,8.7,overcast clouds
71,Hilo,US,2022-07-07 14:02:32,19.7297,-155.09,71.26,73,100,6.91,overcast clouds
72,Coihaique,CL,2022-07-07 14:06:42,-45.5752,-72.0662,31.95,93,100,9.22,light snow
73,Saskylakh,RU,2022-07-07 14:06:43,71.9167,114.0833,45.84,38,43,15.61,scattered clouds
74,Dharchula,IN,2022-07-07 14:06:43,29.85,80.5333,78.26,82,97,1.14,overcast clouds
75,Dikson,RU,2022-07-07 14:06:43,73.5069,80.5464,35.22,84,100,6.64,overcast clouds
76,Jalor,IN,2022-07-07 14:06:04,25.35,72.6167,90.09,61,51,4.27,broken clouds
77,Port Hardy,CA,2022-07-07 14:06:44,50.6996,-127.4199,55.45,97,100,5.1,moderate rain
78,Vila Velha,BR,2022-07-07 14:06:44,-20.3297,-40.2925,82.35,65,20,11.5,few clouds
79,Rawson,AR,2022-07-07 14:06:44,-43.3002,-65.1023,41.47,52,3,21.34,clear sky
80,Tuktoyaktuk,CA,2022-07-07 14:06:45,69.4541,-133.0374,56.14,62,35,11.18,scattered clouds
81,Erenhot,CN,2022-07-07 14:06:45,43.6475,111.9767,79.56,29,100,11.43,overcast clouds
82,Sinnar,SD,2022-07-07 14:06:45,13.5691,33.5672,91.38,39,98,11.61,overcast clouds
83,Carnarvon,AU,2022-07-07 14:06:45,-24.8667,113.6333,68.41,32,0,6.62,clear sky
84,Kijang,KR,2022-07-07 14:06:46,35.2442,129.2139,82.13,92,100,9.8,overcast clouds
85,Labelle,US,2022-07-07 14:06:46,26.7617,-81.4384,87.82,69,96,5.97,overcast clouds
86,Bezhetsk,RU,2022-07-07 14:06:46,57.7851,36.6965,74.08,75,47,18.45,light rain
87,Longyearbyen,SJ,2022-07-07 14:06:47,78.2186,15.6401,46.24,53,20,13.8,few clouds
