City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2022-06-28 00:02:34,-53.15,-70.9167,37.11,69,100,12.75
1,Salta,AR,2022-06-28 00:02:52,-24.7859,-65.4117,48.58,83,44,3.0
2,Qaanaaq,GL,2022-06-28 00:02:52,77.484,-69.3632,47.59,57,13,4.27
3,Ushuaia,AR,2022-06-28 00:02:53,-54.8,-68.3,42.46,56,40,11.5
4,Bambous Virieux,MU,2022-06-28 00:02:53,-20.3428,57.7575,66.22,66,77,18.43
5,Vanimo,PG,2022-06-28 00:02:53,-2.6741,141.3028,83.03,68,84,5.55
6,Puerto Ayora,EC,2022-06-28 00:02:54,-0.7393,-90.3518,67.55,97,68,5.01
7,Kamina,CD,2022-06-28 00:02:54,-8.7386,24.9906,56.79,56,8,5.28
8,Bluff,NZ,2022-06-28 00:01:13,-46.6,168.3333,38.8,68,7,4.03
9,Butaritari,KI,2022-06-28 00:02:55,3.0707,172.7902,81.63,80,67,11.97
10,Goure,NE,2022-06-28 00:02:55,13.9835,10.2704,85.86,41,100,8.97
11,Raudeberg,NO,2022-06-28 00:02:55,61.9875,5.1352,56.07,91,100,8.25
12,Rocha,UY,2022-06-27 23:58:26,-34.4833,-54.3333,49.32,91,100,3.09
13,Koumac,NC,2022-06-28 00:02:56,-20.5667,164.2833,77.94,67,98,4.41
14,Norman Wells,CA,2022-06-28 00:02:56,65.282,-126.8329,81.57,26,37,1.59
15,Seoul,KR,2022-06-28 00:02:49,37.5683,126.9778,83.59,78,100,15.79
16,Barrow,US,2022-06-28 00:02:57,71.2906,-156.7887,51.82,76,100,5.75
17,Vaini,TO,2022-06-28 00:02:57,-21.2,-175.2,75.27,72,8,14.45
18,Chau Doc,VN,2022-06-28 00:01:32,10.7,105.1167,80.87,84,28,5.57
19,Saint-Philippe,RE,2022-06-28 00:02:57,-21.3585,55.7679,63.99,75,77,14.97
20,Mataura,NZ,2022-06-28 00:02:58,-46.1927,168.8643,38.48,84,14,2.35
21,Hobart,AU,2022-06-28 00:00:07,-42.8794,147.3294,54.23,74,75,8.05
22,Hermanus,ZA,2022-06-28 00:02:58,-34.4187,19.2345,52.81,60,0,7.45
23,Alta Floresta,BR,2022-06-28 00:02:58,-9.8756,-56.0861,71.98,39,5,2.28
24,Tamandare,BR,2022-06-28 00:02:59,-8.7597,-35.1047,74.98,80,69,13.13
25,Dikson,RU,2022-06-28 00:02:59,73.5069,80.5464,31.23,86,98,20.11
26,Mount Isa,AU,2022-06-28 00:02:59,-20.7333,139.5,64.17,36,90,16.11
27,Torbay,CA,2022-06-28 00:00:07,47.6666,-52.7314,68.77,88,100,18.41
28,Narsaq,GL,2022-06-28 00:03:00,60.9167,-46.05,50.22,69,32,2.21
29,Asau,RO,2022-06-28 00:03:00,46.4333,26.4,67.12,100,100,4.72
30,Takoradi,GH,2022-06-28 00:03:01,4.8845,-1.7554,76.03,90,75,5.41
31,Chuy,UY,2022-06-28 00:03:02,-33.6971,-53.4616,51.58,90,100,4.56
32,Nador,MA,2022-06-28 00:03:03,35.174,-2.9287,73.65,35,0,6.91
33,Bethel,US,2022-06-28 00:02:08,41.3712,-73.414,74.03,91,75,3.44
34,Mar Del Plata,AR,2022-06-28 00:03:03,-38.0023,-57.5575,49.08,79,0,6.91
35,Esperance,AU,2022-06-28 00:03:06,-33.8667,121.9,58.42,65,80,15.5
36,Ponta Delgada,PT,2022-06-28 00:03:06,37.7333,-25.6667,67.5,77,75,9.22
37,Lebu,CL,2022-06-28 00:03:07,-37.6167,-73.65,52.61,92,97,10.18
38,Ulladulla,AU,2022-06-28 00:03:08,-35.35,150.4667,52.86,54,78,7.54
39,Tuktoyaktuk,CA,2022-06-28 00:03:08,69.4541,-133.0374,55.47,58,79,8.32
40,Victoria,HK,2022-06-28 00:00:00,22.2855,114.1577,87.96,78,38,4.0
41,Kiama,AU,2022-06-28 00:03:10,-34.6833,150.8667,57.99,63,87,5.01
42,Ixtapa,MX,2022-06-28 00:03:11,20.7,-105.2,84.22,79,75,11.5
43,Tomatlan,MX,2022-06-28 00:03:11,19.9333,-105.25,85.06,65,31,9.73
44,Dali,CN,2022-06-28 00:03:12,25.7,100.1833,63.75,92,100,3.83
45,Concordia,AR,2022-06-28 00:00:02,-31.393,-58.0209,53.78,98,100,4.0
46,Atuona,PF,2022-06-28 00:03:13,-9.8,-139.0333,77.63,79,13,18.34
47,Pevek,RU,2022-06-28 00:03:13,69.7008,170.3133,37.87,75,54,6.53
48,Kavaratti,IN,2022-06-28 00:03:14,10.5669,72.642,82.09,76,99,20.4
49,Rikitea,PF,2022-06-28 00:03:14,-23.1203,-134.9692,73.56,72,8,7.63
50,New Norfolk,AU,2022-06-28 00:03:15,-42.7826,147.0587,53.89,80,100,3.0
51,Yadrin,RU,2022-06-28 00:03:15,55.9405,46.2062,49.75,94,4,7.83
52,Severo-Kurilsk,RU,2022-06-28 00:03:16,50.6789,156.125,46.8,97,100,13.13
53,Otane,NZ,2022-06-28 00:03:17,-39.8833,176.6333,49.01,58,100,2.42
54,Ilheus,BR,2022-06-28 00:03:17,-14.7889,-39.0494,69.12,69,28,10.56
55,Algeciras,ES,2022-06-28 00:03:17,36.1333,-5.4505,69.48,52,0,12.66
56,Cherskiy,RU,2022-06-28 00:03:18,68.75,161.3,53.08,39,100,12.41
57,Rosarito,MX,2022-06-28 00:03:18,32.3333,-117.0333,92.66,61,35,7.34
58,Olds,CA,2022-06-28 00:02:57,51.7834,-114.102,73.24,60,55,6.26
59,Hithadhoo,MV,2022-06-28 00:03:19,-0.6,73.0833,82.99,72,100,9.62
60,Meulaboh,ID,2022-06-28 00:03:19,4.1363,96.1285,75.36,90,100,3.02
61,Bredasdorp,ZA,2022-06-28 00:03:20,-34.5322,20.0403,54.43,62,2,4.36
62,Langsa,ID,2022-06-28 00:03:20,4.4683,97.9683,74.62,92,95,2.89
63,Port Alfred,ZA,2022-06-28 00:03:20,-33.5906,26.891,59.05,60,0,8.48
64,Albany,US,2022-06-28 00:01:19,42.6001,-73.9662,72.25,57,50,8.46
65,Arraial Do Cabo,BR,2022-06-28 00:03:21,-22.9661,-42.0278,58.86,88,0,3.44
66,Bereda,ES,2022-06-28 00:03:21,43.2686,-7.5406,45.14,100,12,1.52
67,Nagato,JP,2022-06-28 00:03:21,34.3833,131.2,81.41,74,98,12.1
68,Vila,PT,2022-06-28 00:03:22,42.0304,-8.1588,48.7,82,2,3.74
69,Georgetown,MY,2022-06-28 00:03:22,5.4112,100.3354,80.89,82,20,5.75
70,Busselton,AU,2022-06-28 00:03:22,-33.65,115.3333,51.44,78,70,6.98
71,Jamui,IN,2022-06-28 00:03:23,24.9167,86.2167,88.12,60,99,9.91
72,Seddon,AU,2022-06-28 00:03:23,-37.8068,144.8916,50.22,83,0,10.36
73,Portland,US,2022-06-28 00:01:06,45.5234,-122.6762,95.29,28,0,10.0
74,Qaqortoq,GL,2022-06-28 00:03:24,60.7167,-46.0333,44.31,75,38,5.23
75,Hamilton,US,2022-06-28 00:03:24,39.1834,-84.5333,78.24,46,0,10.36
76,Luderitz,NA,2022-06-28 00:03:25,-26.6481,15.1594,71.2,36,0,23.62
